Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Sauvage Elixir,sauvage-elixir,"<p>Denso, especiado, caro de oler. Con dos toques sobra.</p>",Dior,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Canela · Lavanda · Regaliz,"Dior, decants, Sauvage Elixir, campo:1",TRUE,Active,SAUVAGE-ELIX-5,,Presentación,Decant 5 ml,,,,,,,,19,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/sauvage-elixir.webp,1,Frasco y caja de Dior Sauvage Elixir,,FALSE,Dior Sauvage Elixir — decant y frasco completo,Prueba Sauvage Elixir en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,sauvage-elixir,,,,,,,,SAUVAGE-ELIX-10,,,Decant 10 ml,,,,,,,,34,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,sauvage-elixir,,,,,,,,SAUVAGE-ELIX-60,,,Frasco 60 ml,,,,,,,,165,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Bleu de Chanel,bleu,<p>Serio sin ser viejo. El de la reunión y el de la cita.</p>,Chanel,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Cítricos · Incienso · Sándalo,"Chanel, decants, Bleu de Chanel, campo:2",TRUE,Active,BLEU-5,,Presentación,Decant 5 ml,,,,,,,,13,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/bleu.webp,1,Frasco y caja de Chanel Bleu de Chanel,,FALSE,Chanel Bleu de Chanel — decant y frasco completo,Prueba Bleu de Chanel en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,bleu,,,,,,,,BLEU-10,,,Decant 10 ml,,,,,,,,23,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,bleu,,,,,,,,BLEU-100,,,Frasco 100 ml,,,,,,,,145,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Le Male Elixir,lemale-elixir,"<p>Miel, lavanda y vainilla. Dulce pero con carácter.</p>",Jean Paul Gaultier,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Miel · Lavanda · Haba tonka,"Jean Paul Gaultier, decants, Le Male Elixir, campo:3",TRUE,Active,LEMALE-ELIXI-5,,Presentación,Decant 5 ml,,,,,,,,14,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/lemale-elixir.webp,1,Frasco y caja de Jean Paul Gaultier Le Male Elixir,,FALSE,Jean Paul Gaultier Le Male Elixir — decant y frasco completo,Prueba Le Male Elixir en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,lemale-elixir,,,,,,,,LEMALE-ELIXI-10,,,Decant 10 ml,,,,,,,,25,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,lemale-elixir,,,,,,,,LEMALE-ELIXI-100,,,Frasco 100 ml,,,,,,,,128,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Good Girl,goodgirl,<p>Dulce y oscuro. Se queda pegado en la ropa dos días.</p>,Carolina Herrera,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Jazmín · Tonka · Cacao,"Carolina Herrera, decants, Good Girl, campo:4",TRUE,Active,GOODGIRL-5,,Presentación,Decant 5 ml,,,,,,,,10,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/goodgirl.webp,1,Frasco y caja de Carolina Herrera Good Girl,,FALSE,Carolina Herrera Good Girl — decant y frasco completo,Prueba Good Girl en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
